"Gene","logFC","adj.P.Val"
"PA0638",-2.46365422811049,9.21422849242518e-30
"PA0629",-2.55419534414548,1.31087319924702e-29
"PA0628",-2.5346184731228,1.44746252465156e-28
"PA0641",-2.55322991928529,1.32676271068635e-24
"PA0627",-2.5638351455181,6.22943189793209e-24
"PA0616",-2.22205059889571,7.73857614159181e-23
"PA0614",-1.98452661043616,2.62829484872945e-22
"PA0639",-2.28622070297812,2.85380235549514e-22
"PA0635",-2.41587231223282,6.47172484790555e-20
"PA0636",-2.44446882517831,1.0213368218408e-19
"PA0637",-2.23149953467586,3.72585083598287e-19
"PA0625",-2.21392455305837,6.71428067905485e-19
"PA0619",-2.06340941787489,7.79506541986691e-19
"PA0630",-2.31101635864708,8.50655746828204e-19
"PA0631",-2.19531750426013,6.53932719230474e-18
"PA0640",-2.06955583854672,3.42215507220869e-17
"PA0634",-2.27232074746405,2.06191146444023e-16
"PA0618",-2.14307696607867,7.77831074230091e-16
"PA0613",-2.18789182065248,8.36900045660316e-16
"PA0626",-2.01924508412562,9.77152223387354e-16
"ptrB",-2.20404739907645,1.05704746782371e-14
"PA0643",-1.88813439626343,3.76737208361753e-14
"PA0617",-1.8189034956677,4.82684029723701e-14
"PA5469",-1.6325425942629,4.67254570700518e-13
"PA0615",-1.8811703898123,5.1160061999007e-13
"PA0620",-1.5512637364835,1.33700190170462e-12
"PA0633",-1.69923697326318,1.37846589864826e-12
"gfnR",-2.3535030065513,8.56631204203842e-12
"PA0624",-1.91838345099738,1.1624791601318e-11
"PA0622",-1.39025834166153,3.96352213314104e-11
"PA3631",-2.1116729948207,4.63215136134141e-11
"PA5468",-1.25856738211698,5.32145669209531e-11
"pys2",-1.23792516631481,1.95991704240654e-10
"agtD",-1.36816323889167,7.07738261752191e-10
"queA",-1.12882039968763,3.31367265184176e-09
"PA0671",-1.61745787895647,3.44796584095989e-09
"PA3638",-2.28547963597878,4.14105680107011e-09
"PA2653",-1.93097911871782,4.81894299572234e-09
"mutS",-1.71822428109081,1.19133520377993e-08
"armZ",-1.41241073485273,2.3506012846834e-08
"PA3632",-1.69065742789833,2.70281711833618e-08
"alpB",-1.87532278593763,3.14549086645463e-08
"ygbP",-1.66054168748197,8.24471262261253e-08
"PA5466",-1.18225301511611,1.71695176259907e-07
"prtR",-1.14196367666636,1.80239945251684e-07
"PA0623",-1.38059381229059,1.95539515975443e-07
"PA1169",-1.49616840106504,2.41311280431759e-07
"prtN",-1.48694065617395,2.78349160191391e-07
"PA0669",-1.30328028563322,2.78349160191391e-07
"PA5470",-1.45475978069988,2.88683908360362e-07
"PA4140",-1.05056799822278,3.64175272981796e-07
"rho",-1.0564712376256,8.8309280075522e-07
"PA3671",-1.27634384113402,1.82894277337131e-06
"PA3979",-1.02854035422424,1.84570386693361e-06
"PA2652",-1.12703280656746,1.85293805572743e-06
"PA3414",-1.57865023757896,2.07251685857945e-06
"PA0670",-1.40424991838891,2.62489716667883e-06
"potB",-1.08320477644317,3.51224961368869e-06
"PA4586",-1.95664112440804,8.76912358622196e-06
"PA2768",-1.26686429678251,8.81914164114778e-06
"potC",-1.16900421763199,8.81914164114778e-06
"PA4584",-1.55237932980589,1.05214089097931e-05
"PA3818",-1.10062543143589,2.2721200127185e-05
"PA3262.1",-1.51557967438235,2.49864453792019e-05
"PA2840",-1.50417826405732,3.18465116881269e-05
"PA1535",-1.10680880920183,4.42246952522305e-05
"PA4583",-1.5000150102667,4.5050942663456e-05
"PA3413",-1.06044094466012,5.51943968873299e-05
"PA0532",-1.55586122538164,6.43513712481114e-05
"PA1168",-2.27013061928992,7.64957048667171e-05
"PA3368.1",-1.20480803576771,8.30005415061043e-05
"PA2767",-1.39585361049675,9.9191507014434e-05
"PA4582",-1.32492214478007,0.000105717295598217
"PA0645",-1.29711429766855,0.000113934717494659
"alpC",-1.36424499188333,0.000120662601320364
"PA3415",-1.57125828654411,0.000143224320253914
"PA1538",-1.23154195225945,0.000172438521293697
"PA0578",-1.10188172545078,0.000183316720980907
"PA1531",-1.19667019842737,0.000201889549568649
"PA4139",-1.60747251295501,0.000214394439057014
"tlpQ",-1.11561646316642,0.000215397006825091
"PA0646",-1.04432702922673,0.00021917639153418
"PA0825",-1.05485154202716,0.000246515388814963
"PA0924",-1.25590953693094,0.000254050993857679
"rtcA",-1.5333990948858,0.000256422922911592
"PA3532",-1.08899574206486,0.00028341676457284
"PA0916",-1.10670046690694,0.000721632362131382
"PA0914",-1.23929880977156,0.000957298099702092
"PA4629",-1.3474850204467,0.00132922257343082
"PA1418",-1.49343026377358,0.00133226931855368
"PA0915",-1.16312648378962,0.00142325707003297
"PA1419",-1.75830909096973,0.00224857558428351
"agtC",-1.0153703682452,0.00251280047571229
"PA1416",-1.70446545090634,0.00318037277017792
"PA0621",-1.00255247522452,0.00319698546011217
"PA1417",-1.61905932244015,0.0037294397778225
"gbuR",-1.402666713916,0.00461466782232596
"PA3641",-1.1454574008492,0.00469716662382211
"PA2788",-1.09376232284873,0.00489890313134704
"aspA",-1.19829767230767,0.00701537650166158
"lpxB",-1.10655592792411,0.00790495764742142
"PA3416",-1.06686458165851,0.0106427005423703
"gbuA",-1.17373609468518,0.0134133821692824
"lecA",-1.03208932189605,0.0152809466930563
"PA2916",-1.00492613382345,0.0173449619935695
"PA1420",-1.19061226952057,0.0189912864555051
"sphB",-1.10376830415572,0.0239926857252899
"PA3866",-1.57999383718335,0.0379665205008955
