"Gene","Locus_Tag","logFC","adj.P.Val"
"PA3615","PA3615",-1.01793140404357,0.00132155344127373
"PA1894","PA1894",-1.46786716201711,0.00145503675988015
"PA0713","PA0713",-1.75254403844213,0.00423713803728784
"PA0918","PA0918",-1.30577464461875,0.00471398944795912
"PA1896","PA1896",-1.17305115256895,0.00683316829817933
"oprI","PA2853",-1.06028507835826,0.00683718647707715
"PA3723","PA3723",-1.3890349180026,0.00689942741696749
"oprB","PA3186",-1.71340834696474,0.00752482895065573
"PA0459","PA0459",-1.13571629403727,0.0075389579182481
"PA4610","PA4610",-1.07662600918136,0.00999965108879106
"adhA","PA5427",-1.92436219404393,0.0102070195906048
"pilA","PA4525",-1.45791618839433,0.0134287019550274
"arcB","PA5172",-2.36985234701153,0.0151030515555463
"PA1746","PA1746",-1.92308849547612,0.0167937116135261
"PA1895","PA1895",-1.1486406977484,0.0167937116135261
"PA3572","PA3572",-1.69333735110783,0.0173487572573291
"PA4607","PA4607",-2.57318116365281,0.0175867997099011
"nirC","PA0517",-1.14718841086639,0.0175867997099011
"PA1897","PA1897",-1.43318331946743,0.0178569172350897
"PA0200","PA0200",-1.26003649990267,0.0185714392013732
"arcC","PA5173",-1.76398920910533,0.0190804147028964
"nirM","PA0518",-1.53428820660008,0.0190804147028964
"ccoP2","PA1555",-1.58667505584298,0.0197558071463775
"PA0588","PA0588",-1.89119536599198,0.0205555871908154
"ldh","PA3418",-1.65900189488161,0.0206287004921348
"azu","PA4922",-1.29549578399677,0.0210004215322153
"arcA","PA5171",-2.34859870322921,0.02118191047018
"PA3417","PA3417",-1.64531404376505,0.0217123248597488
"PA1041","PA1041",-2.21416732532205,0.0237802656681584
"oprD","PA0958",-2.02210279453046,0.0237802656681584
"arcD","PA5170",-1.57107463948861,0.0237802656681584
"hcp1","PA0085",-1.07468180406429,0.0237802656681584
"katA","PA4236",-1.64713591987344,0.0257042184521474
"PA4611","PA4611",-1.55390636385651,0.0276673991436035
"nuoF","PA2641",-1.02811159207649,0.0336221939732499
"cspD","PA2622",-1.29675526703771,0.0367752367868076
"aatJ","PA1342",-1.4892537487896,0.0384853630632335
"PA0586","PA0586",-1.43208277072322,0.0412339157237194
"PA4463","PA4463",-1.09225964919397,0.041731997324433
"oprG","PA4067",-1.1263351485475,0.0419269403321168
"PA2381","PA2381",-1.476980833332,0.0422649623818581
"lipA","PA2862",-1.09725876933447,0.042917051318352
"sucB","PA1586",-1.09479299674818,0.0437625003641104
"nirS","PA0519",-1.58436721854844,0.0441097242660084
"PA3415","PA3415",-1.43822270430654,0.0441097242660084
"leuA","PA3792",-1.30314367138653,0.0473590639902101
"PA4577","PA4577",-1.16606575149266,0.0494890414737844
